PIDES
AlphaP	AlphaI	AlphaD	GammaI	GammaD	OmegaP	OmegaI	OmegaP	H	To
0.010000	0.017000	0.000000	0.050000	0.035000	0.000000	2.513270	2.010620	0.000000	0.500000	5.000000
SaidaP	SaidaI	SaidaD	J	Kp	Ki	Kd
-4.358540	-0.043585	0.000000	0.000000	0.400000	0.200000	0.000000
-4.358540	-0.043585	0.000000	0.000000	0.400000	0.200000	0.000000
-4.358540	-0.043585	0.000000	0.000000	0.400000	0.200000	0.000000
-4.358540	-0.043585	0.000000	0.000000	0.400000	0.200000	0.000000
-4.358540	-0.043585	0.000000	0.000000	0.400000	0.200000	0.000000
-4.358540	-0.043585	0.000000	0.000000	0.400000	0.200000	0.000000
-4.336747	-0.043476	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043259	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
-4.314955	-0.043150	0.000000	0.000000	0.400000	0.200000	0.000000
